path,hasLower,hasNums,hasBrackets,min_y,max_y
fonts/01 DigiGraphics.ttf,TRUE,TRUE,TRUE,239,337
fonts/0629____.TTF,FALSE,FALSE,FALSE,250,329
fonts/0802F___.TTF,FALSE,FALSE,FALSE,250,329
fonts/0927____.TTF,FALSE,TRUE,FALSE,250,346
fonts/10.10___.TTF,FALSE,TRUE,FALSE,250,329
fonts/10.12-4_.TTF,TRUE,TRUE,FALSE,255,368
fonts/1015snr.ttf,TRUE,TRUE,TRUE,254,384
fonts/1015sn.ttf,TRUE,TRUE,TRUE,254,384
fonts/106beats.ttf,TRUE,TRUE,FALSE,283,356
fonts/111.otf,FALSE,TRUE,TRUE,259,342
fonts/18holes.ttf,TRUE,TRUE,TRUE,277,376
fonts/18thCtrKurStart.ttf,TRUE,TRUE,TRUE,264,432
fonts/18thCtrKurTxt.ttf,TRUE,TRUE,TRUE,264,432
fonts/1980 portable.otf,TRUE,TRUE,TRUE,250,369
fonts/1_Cadman_Roman.woff,TRUE,TRUE,TRUE,284,386
fonts/1_Ichiro.otf,TRUE,TRUE,TRUE,258,326
fonts/1.ttf,FALSE,TRUE,FALSE,263,362
fonts/20db.otf,FALSE,TRUE,TRUE,269,379
fonts/22203___.TTF,FALSE,TRUE,FALSE,250,329
fonts/256 bytes.otf,TRUE,TRUE,TRUE,260,361
fonts/2_Cadman_Italic.woff,TRUE,TRUE,TRUE,284,386
fonts/2PROT___.TTF,FALSE,TRUE,TRUE,251,350
fonts/32768no.ttf,FALSE,TRUE,TRUE,251,335
fonts/36daysag.ttf,TRUE,TRUE,TRUE,250,349
fonts/36daythk.ttf,TRUE,TRUE,TRUE,250,349
fonts/3_Cadman_Bold.woff,TRUE,TRUE,TRUE,285,387
fonts/3dlet.ttf,TRUE,TRUE,FALSE,251,323
fonts/3D-Thirteen-Pixel-Fonts.ttf,TRUE,TRUE,TRUE,250,328
fonts/3M Ampleset.otf,TRUE,TRUE,TRUE,261,364
fonts/3M Trislan.ttf,TRUE,TRUE,TRUE,284,376
fonts/3PROT___.TTF,FALSE,TRUE,TRUE,252,347
fonts/3rd Man.otf,FALSE,TRUE,TRUE,251,353
fonts/3rd Man.ttf,FALSE,TRUE,TRUE,250,353
fonts/42.ttf,FALSE,TRUE,FALSE,263,362
fonts/47-BoldItalic.otf,FALSE,TRUE,FALSE,260,359
fonts/47-BoldItalic.ttf,FALSE,TRUE,FALSE,250,349
fonts/47-Bold.otf,FALSE,TRUE,FALSE,260,359
fonts/47-Bold.ttf,FALSE,TRUE,FALSE,250,349
fonts/4_Cadman_Bold_Italic.woff,TRUE,TRUE,TRUE,284,386
fonts/4kstncl.ttf,FALSE,TRUE,TRUE,250,312
fonts/4shadowo.ttf,FALSE,TRUE,TRUE,250,329
fonts/4shadow.ttf,FALSE,TRUE,TRUE,251,330
fonts/5by7_b.ttf,TRUE,TRUE,TRUE,248,321
fonts/5by7.ttf,TRUE,TRUE,TRUE,250,319
fonts/5thgradecursive-2-italic.ttf,TRUE,TRUE,TRUE,251,479
fonts/5thgradecursive-2.ttf,TRUE,TRUE,TRUE,251,479
fonts/5yearsoldfont.ttf,TRUE,TRUE,TRUE,255,359
fonts/6809 chargen.ttf,TRUE,TRUE,TRUE,274,354
fonts/712_serif.ttf,TRUE,TRUE,TRUE,262,325
fonts/7hours.ttf,FALSE,TRUE,FALSE,250,348
fonts/8bitlimo.ttf,TRUE,TRUE,FALSE,250,355
fonts/8bitlimr.ttf,TRUE,TRUE,FALSE,250,356
fonts/8bitlim.ttf,TRUE,TRUE,FALSE,251,356
fonts/8blimro.ttf,TRUE,TRUE,FALSE,250,355
fonts/90stars.ttf,TRUE,TRUE,TRUE,250,351
fonts/Aaargh.ttf,TRUE,TRUE,TRUE,250,381
fonts/Aafia3D-Italic.otf,TRUE,TRUE,FALSE,251,368
fonts/Aafia3D.otf,TRUE,TRUE,FALSE,250,368
fonts/Aafia-Italic.otf,TRUE,TRUE,FALSE,250,362
fonts/Aafia.otf,TRUE,TRUE,FALSE,250,362
fonts/Aaram-Regular.ttf,TRUE,TRUE,TRUE,271,371
fonts/AarcoverRegular.ttf,FALSE,TRUE,FALSE,259,344
fonts/aAutoyesClosely.otf,TRUE,TRUE,TRUE,251,348
fonts/aAutoyesClosely.ttf,TRUE,TRUE,TRUE,251,347
